step,train_precision,test_precision
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.5
20,1.0,0.5
21,1.0,0.5
22,1.0,0.5
23,1.0,0.5
24,1.0,0.75
25,1.0,0.75
26,1.0,0.75
27,1.0,0.75
28,1.0,0.6
29,1.0,0.6
30,1.0,0.6
31,1.0,0.6
32,1.0,0.6
33,1.0,0.6
34,1.0,0.6
35,1.0,0.6
36,1.0,0.6
37,1.0,0.6
38,1.0,0.6
39,1.0,0.6
40,1.0,0.6
41,1.0,0.6
42,1.0,0.6
43,1.0,0.6
44,1.0,0.6
45,1.0,0.6
46,1.0,0.6
47,1.0,0.6
48,1.0,0.6
49,1.0,0.6
